Matrix_Size_N,Trial_Number,NW_Time_Seconds,BH_Time_Seconds
400,17,0.010950200026854873,13.490715299965814
400,18,0.010967700043693185,12.259727299911901
400,19,0.010635499842464924,12.954725800082088
400,20,0.010858000023290515,12.374445300083607
400,21,0.011228499934077263,13.251145499991253
400,22,0.011226999806240201,13.109232200076804
400,23,0.013499699998646975,12.47549939993769
400,24,0.010875300038605928,12.996417599963024
400,25,0.01225719996728003,12.206098800059408
400,26,0.011048399843275547,13.03208400006406
400,27,0.01066709985025227,13.113981999922544
400,28,0.011508600087836385,13.019853400066495
400,29,0.010625499999150634,13.036297700135037
400,30,0.01101880008354783,12.057292700046673
400,31,0.01824829983524978,14.206385800149292
400,32,0.01136390003375709,12.5399997998029
400,33,0.010708199813961983,12.946880999952555
400,34,0.010766299907118082,12.663808799814433
400,35,0.012109600007534027,12.577384399948642
400,36,0.011222000000998378,12.882143500028178
400,37,0.01390619995072484,12.212461299961433
400,38,0.017591199837625027,12.701385400025174
400,39,0.01722779986448586,12.243305100128055
400,40,0.011515500023961067,12.723190599819645
400,41,0.02026679995469749,12.126104299910367
400,42,0.01100270007736981,12.227061799960211
400,43,0.01096199988387525,12.903285100124776
400,44,0.011253400007262826,12.83054340002127
400,45,0.010774999856948853,12.92617390002124
400,46,0.010888900142163038,12.158904700074345
400,47,0.011129599995911121,13.017603100044653
400,48,0.010899899993091822,11.895109199918807
400,49,0.010831299936398864,12.735545200062916
400,50,0.01440689992159605,12.60711900005117
400,51,0.01059650001116097,12.44586049998179
400,52,0.015025099972262979,12.29893619986251
400,53,0.01183660002425313,12.035178999882191
400,54,0.012411599978804588,12.584996999939904
400,55,0.01065760012716055,12.694280500058085
400,56,0.011065799975767732,11.758279399946332
400,57,0.015277799917384982,12.97787639987655
400,58,0.010860699927434325,11.962481599999592
400,59,0.010609599994495511,13.76537730009295
400,60,0.014746899949386716,12.77797339996323
400,61,0.011265199864283204,12.54235120001249
400,62,0.012381999986246228,12.863785699941218
400,63,0.01611130009405315,12.163667100016028
400,64,0.011236899998039007,12.927728699985892
400,65,0.017917799996212125,12.574173000175506
400,66,0.017218099907040596,12.95186290005222
400,67,0.01058419980108738,13.338518500095233
400,68,0.011257699923589826,12.432965200161561
400,69,0.011567299952730536,12.521689499961212
400,70,0.010866499971598387,12.128967199940234
400,71,0.011629100190475583,13.288196200039238
400,72,0.011288399808108807,12.288924899883568
400,73,0.01807880005799234,12.772024699952453
400,74,0.020343499956652522,13.044000800000504
400,75,0.011269300011917949,12.582652400014922
400,76,0.011111200088635087,12.807217400055379
400,77,0.015387200051918626,12.70135029987432
400,78,0.019363699946552515,13.372367199975997
400,79,0.010727700078859925,12.975133100058883
400,80,0.02065110020339489,12.954770499840379
400,81,0.011763700051233172,13.132027700077742
400,82,0.01442190003581345,12.823927900055423
400,83,0.015946900006383657,12.935896299779415
400,84,0.01531839999370277,11.952025899896398
400,85,0.010847599944099784,12.676975099835545
400,86,0.011391500011086464,12.660095499828458
400,87,0.010998700046911836,12.713553299894556
400,88,0.016936999978497624,12.908420300111175
400,89,0.02004500012844801,12.96868439996615
400,90,0.0117830999661237,12.573453100165352
400,91,0.012051599798724055,13.039939400041476
400,92,0.01103039993904531,12.661254199920222
400,93,0.010619000066071749,12.095141900004819
400,94,0.0109848000574857,12.500373699935153
400,95,0.010794800007715821,13.291177100036293
400,96,0.010894899955019355,12.115271299844608
400,97,0.011091999942436814,12.743413700023666
400,98,0.011316499905660748,12.82608830020763
400,99,0.016105399932712317,12.33422219986096
400,100,0.015763700008392334,12.861107700038701
1000,1,0.08511049998924136,254.8331583000254
1000,2,0.09087339998222888,255.0001695000101
1000,3,0.07864279998466372,259.7085428000428
1000,4,0.0923494000453502,257.5240579000674
1000,5,0.09375380002893507,258.00982909998856
1000,6,0.08216600003652275,327.2480945000425
1000,7,0.07631250005215406,260.365761899855
1000,8,0.08453799993731081,300.77929489989765
1000,9,0.07928429986350238,257.4445303999819
1000,10,0.08441790007054806,260.54149780003354
